id,guid,mapId,pos,type,x,z,yaw,args
1018310,11018310,0,0|0,4,24,80,270,1104
1018504,11018504,0,0|0,4,79,10,90,1204
1022320,11022320,0,0|0,4,99,64,180,1105
1022321,11022321,0,0|0,4,85,73,90,1306
1022322,11022322,0,0|0,4,84,88,90,1104
1022323,11022323,0,0|0,4,73,60,270,1104
1022324,11022324,0,0|0,4,74,71,180,1204
1022325,11022325,0,0|0,4,79,89,270,1204
1022326,11022326,0,0|0,4,59,86,0,1204
1022327,11022327,0,0|0,4,63,97,0,1204
1022328,11022328,0,0|0,4,46,70,180,1103
1022329,11022329,0,0|0,4,47,84,0,1104
1022330,11022330,0,0|0,4,26,11,0,1007
1022331,11022331,0,0|0,4,9,10,90,1204
1022332,11022332,0,0|0,4,11,63,270,1104
1022333,11022333,0,0|0,4,17,75,180,1305
1022784,11022784,0,0|0,4,96,71,180,1206
1022785,11022785,0,0|0,4,80,21,180,1104
1022786,11022786,0,0|0,4,10,54,180,1006
1023004,11023004,0,0|0,4,72,97,0,1104
1023126,11023126,0,0|0,4,47,96,270,1204
1023218,11023218,0,0|0,4,38,10,180,1205
1023348,11023348,0,0|0,4,67,52,0,1204
1027099,11027099,0,0|0,4,91,12,270,1105
1027100,11027100,0,0|0,4,89,23,270,1005
1027101,11027101,0,0|0,4,87,36,180,1103
1027102,11027102,0,0|0,4,86,75,90,1004
1027103,11027103,0,0|0,4,85,90,0,1306
1027104,11027104,0,0|0,4,74,62,0,1105
1027105,11027105,0,0|0,4,75,73,0,1206
1027106,11027106,0,0|0,4,61,76,180,1202
1027107,11027107,0,0|0,4,64,99,0,1306
1027108,11027108,0,0|0,4,50,15,270,1205
1027109,11027109,0,0|0,4,47,72,180,1205
1027110,11027110,0,0|0,4,48,86,0,1104
1027111,11027111,0,0|0,4,39,75,180,1007
1027112,11027112,0,0|0,4,31,63,0,1105
1027113,11027113,0,0|0,4,21,81,90,1305
1027114,11027114,0,0|0,4,18,77,90,1005
1027602,11027602,0,0|0,4,97,73,0,1204
1027603,11027603,0,0|0,4,81,23,180,1102
1027604,11027604,0,0|0,4,11,56,180,1103
1027940,11027940,0,0|0,4,25,85,90,1104
1028031,11028031,0,0|0,4,39,12,180,1104
1028166,11028166,0,0|0,4,80,15,180,1306
1028167,11028167,0,0|0,4,68,54,270,1205
1031418,11031418,0,0|0,4,98,32,180,1005
1031420,11031420,0,0|0,4,98,61,0,1104
1031421,11031421,0,0|0,4,87,18,90,1104
1031422,11031422,0,0|0,4,84,70,180,1305
1031423,11031423,0,0|0,4,83,85,0,1006
1031424,11031424,0,0|0,4,72,57,90,1207
1031425,11031425,0,0|0,4,73,68,0,1004
1031426,11031426,0,0|0,4,78,86,90,1104
1031427,11031427,0,0|0,4,63,61,180,1305
1031428,11031428,0,0|0,4,59,71,180,1204
1031429,11031429,0,0|0,4,58,83,90,1305
1031430,11031430,0,0|0,4,50,62,0,1005
1031431,11031431,0,0|0,4,45,67,90,1104
1031432,11031432,0,0|0,4,46,81,270,1106
1031433,11031433,0,0|0,4,37,70,90,1004
1031434,11031434,0,0|0,4,8,7,0,1104
1031435,11031435,0,0|0,4,11,19,180,1007
1031845,11031845,0,0|0,4,95,68,180,1206
1031846,11031846,0,0|0,4,85,48,0,1003
1031847,11031847,0,0|0,4,79,18,0,1305
1032015,11032015,0,0|0,4,71,94,0,1104
1032121,11032121,0,0|0,4,46,93,180,1104
1032205,11032205,0,0|0,4,37,7,180,1104
1032314,11032314,0,0|0,4,78,10,270,1305
1032315,11032315,0,0|0,4,66,49,90,1204
1036042,11036042,0,0|0,4,97,64,180,1104
1036043,11036043,0,0|0,4,88,10,270,1205
1036044,11036044,0,0|0,4,86,21,180,1004
1036045,11036045,0,0|0,4,84,34,0,1205
1036046,11036046,0,0|0,4,89,63,180,1205
1036047,11036047,0,0|0,4,72,71,270,1205
1036048,11036048,0,0|0,4,77,89,0,1103
1036049,11036049,0,0|0,4,62,64,180,1206
1036050,11036050,0,0|0,4,58,74,270,1204
1036051,11036051,0,0|0,4,61,97,90,1203
1036052,11036052,0,0|0,4,49,65,180,1006
1036053,11036053,0,0|0,4,44,70,270,1004
1036054,11036054,0,0|0,4,45,84,0,1305
1036055,11036055,0,0|0,4,36,73,0,1104
1036056,11036056,0,0|0,4,24,11,180,1205
1036057,11036057,0,0|0,4,28,61,90,1204
1036058,11036058,0,0|0,4,7,10,90,1205
1036059,11036059,0,0|0,4,10,22,90,1104
1036060,11036060,0,0|0,4,9,63,0,1205
1036515,11036515,0,0|0,4,94,71,0,1104
1036516,11036516,0,0|0,4,84,51,0,1006
1036517,11036517,0,0|0,4,78,21,180,1005
1036518,11036518,0,0|0,4,8,54,90,1204
1036732,11036732,0,0|0,4,70,97,0,1204
1036856,11036856,0,0|0,4,45,96,270,1204
1036857,11036857,0,0|0,4,22,83,270,1005
1036945,11036945,0,0|0,4,36,10,180,1105
1037076,11037076,0,0|0,4,77,13,180,1106
1037077,11037077,0,0|0,4,65,52,0,1005
1040790,11040790,0,0|0,4,98,36,90,1105
1040792,11040792,0,0|0,4,89,11,180,1306
1040793,11040793,0,0|0,4,87,22,0,1204
1040794,11040794,0,0|0,4,85,35,270,1105
1040795,11040795,0,0|0,4,90,64,270,1204
1040796,11040796,0,0|0,4,83,89,180,1204
1040797,11040797,0,0|0,4,72,61,270,1306
1040798,11040798,0,0|0,4,63,65,90,1104
1040799,11040799,0,0|0,4,59,75,180,1005
1040800,11040800,0,0|0,4,58,87,270,1205
1040801,11040801,0,0|0,4,62,98,90,1204
1040802,11040802,0,0|0,4,48,14,270,1204
1040803,11040803,0,0|0,4,46,85,90,1104
1040804,11040804,0,0|0,4,37,74,90,1106
1040805,11040805,0,0|0,4,25,12,0,1306
1040806,11040806,0,0|0,4,29,62,270,1005
1040807,11040807,0,0|0,4,19,80,180,1306
1040808,11040808,0,0|0,4,11,23,0,1106
1040809,11040809,0,0|0,4,10,64,270,1005
1040810,11040810,0,0|0,4,16,76,90,1106
1041266,11041266,0,0|0,4,95,72,90,1204
1041267,11041267,0,0|0,4,85,52,270,1207
1041268,11041268,0,0|0,4,79,22,180,1104
1041269,11041269,0,0|0,4,37,60,180,1204
1041270,11041270,0,0|0,4,9,55,0,1106
1041486,11041486,0,0|0,4,71,98,180,1104
1041608,11041608,0,0|0,4,46,97,90,1305
1041609,11041609,0,0|0,4,23,84,90,1104
1041702,11041702,0,0|0,4,37,11,0,1104
1,11042017,0,0|0,18,33,37,90,11
1003668,11003668,1000,1|0,4,193,11,0,1205
1003669,11003669,1000,1|0,4,188,20,270,1106
1003670,11003670,1000,1|0,4,190,43,270,1305
1003671,11003671,1000,1|0,4,174,12,270,1104
1003672,11003672,1000,1|0,4,176,16,270,1104
1003673,11003673,1000,1|0,4,176,51,0,1006
1003674,11003674,1000,1|0,4,162,12,270,1204
1003675,11003675,1000,1|0,4,167,21,0,1204
1003676,11003676,1000,1|0,4,169,43,90,1204
1003677,11003677,1000,1|0,4,161,85,180,1004
1003678,11003678,1000,1|0,4,151,9,180,1203
1003679,11003679,1000,1|0,4,155,87,270,1205
1003680,11003680,1000,1|0,4,144,18,90,1104
1003681,11003681,1000,1|0,4,139,63,180,1104
1003682,11003682,1000,1|0,4,138,66,270,1204
1003683,11003683,1000,1|0,4,141,81,90,1305
1003684,11003684,1000,1|0,4,141,93,270,1004
1003685,11003685,1000,1|0,4,124,7,0,1207
1003686,11003686,1000,1|0,4,123,42,0,1002
1003687,11003687,1000,1|0,4,123,57,180,1204
1003688,11003688,1000,1|0,4,123,74,180,1005
1003689,11003689,1000,1|0,4,117,7,180,1102
1003690,11003690,1000,1|0,4,110,19,90,1205
1003691,11003691,1000,1|0,4,116,59,180,1205
1003692,11003692,1000,1|0,4,104,5,90,1004
1004181,11004181,1000,1|0,4,177,39,0,1004
1004182,11004182,1000,1|0,4,175,84,180,1104
1004183,11004183,1000,1|0,4,153,18,270,1104
1004617,11004617,1000,1|0,4,148,55,180,1005
1004722,11004722,1000,1|0,4,111,44,0,1204
1008490,11008490,1000,1|0,4,199,25,90,1106
1008492,11008492,1000,1|0,4,194,14,270,1204
1008493,11008493,1000,1|0,4,191,37,0,1104
1008494,11008494,1000,1|0,4,177,54,0,1006
1008495,11008495,1000,1|0,4,170,46,0,1104
1008496,11008496,1000,1|0,4,150,40,270,1206
1008497,11008497,1000,1|0,4,156,90,270,1306
1008498,11008498,1000,1|0,4,157,95,0,1004
1008499,11008499,1000,1|0,4,144,7,0,1106
1008500,11008500,1000,1|0,4,145,21,180,1105
1008501,11008501,1000,1|0,4,144,51,0,1104
1008502,11008502,1000,1|0,4,140,66,90,1204
1008503,11008503,1000,1|0,4,139,69,90,1203
1008504,11008504,1000,1|0,4,142,84,270,1305
1008505,11008505,1000,1|0,4,126,22,180,1104
1008506,11008506,1000,1|0,4,127,36,90,1006
1008507,11008507,1000,1|0,4,124,45,90,1004
1008508,11008508,1000,1|0,4,124,77,90,1206
1008509,11008509,1000,1|0,4,126,82,0,1104
1008510,11008510,1000,1|0,4,117,62,0,1207
1008511,11008511,1000,1|0,4,116,74,0,1004
1008512,11008512,1000,1|0,4,119,83,0,1202
1008513,11008513,1000,1|0,4,105,8,0,1305
1008514,11008514,1000,1|0,4,102,35,180,1305
1008515,11008515,1000,1|0,4,105,48,270,1204
1008516,11008516,1000,1|0,4,102,64,180,1103
1009006,11009006,1000,1|0,4,176,87,270,1104
1009444,11009444,1000,1|0,4,149,58,180,1004
1009543,11009543,1000,1|0,4,112,47,180,1307
1013306,11013306,1000,1|0,4,199,27,90,1104
1013308,11013308,1000,1|0,4,175,17,0,1104
1013309,11013309,1000,1|0,4,177,21,90,1005
1013310,11013310,1000,1|0,4,162,90,270,1005
1013311,11013311,1000,1|0,4,152,14,180,1004
1013312,11013312,1000,1|0,4,150,42,0,1106
1013313,11013313,1000,1|0,4,156,92,0,1204
1013314,11013314,1000,1|0,4,144,9,270,1204
1013315,11013315,1000,1|0,4,145,23,180,1005
1013316,11013316,1000,1|0,4,139,38,0,1205
1013317,11013317,1000,1|0,4,144,53,180,1305
1013318,11013318,1000,1|0,4,140,68,180,1307
1013319,11013319,1000,1|0,4,142,86,270,1104
1013320,11013320,1000,1|0,4,142,98,0,1105
1013321,11013321,1000,1|0,4,125,12,0,1102
1013322,11013322,1000,1|0,4,126,24,0,1103
1013323,11013323,1000,1|0,4,124,47,90,1204
1013324,11013324,1000,1|0,4,124,62,0,1007
1013325,11013325,1000,1|0,4,124,79,270,1207
1013326,11013326,1000,1|0,4,126,84,180,1005
1013327,11013327,1000,1|0,4,118,12,270,1202
1013328,11013328,1000,1|0,4,117,64,180,1102
1013329,11013329,1000,1|0,4,116,76,90,1204
1013330,11013330,1000,1|0,4,105,10,180,1205
1013331,11013331,1000,1|0,4,102,37,0,1004
1013332,11013332,1000,1|0,4,102,66,90,1305
1013793,11013793,1000,1|0,4,178,44,180,1005
1013794,11013794,1000,1|0,4,112,35,0,1104
1014213,11014213,1000,1|0,4,148,51,180,1007
1014214,11014214,1000,1|0,4,149,60,270,1106
1014215,11014215,1000,1|0,4,157,75,180,1105
1014306,11014306,1000,1|0,4,112,49,270,1104
1017575,11017575,1000,1|0,4,191,11,0,1104
1017576,11017576,1000,1|0,4,188,43,90,1007
1017577,11017577,1000,1|0,4,172,12,180,1104
1017578,11017578,1000,1|0,4,174,16,180,1102
1017579,11017579,1000,1|0,4,176,54,0,1004
1017580,11017580,1000,1|0,4,160,12,180,1106
1017581,11017581,1000,1|0,4,167,43,0,1204
1017582,11017582,1000,1|0,4,149,9,0,1104
1017583,11017583,1000,1|0,4,153,87,180,1205
1017584,11017584,1000,1|0,4,141,4,180,1105
1017585,11017585,1000,1|0,4,142,18,90,1305
1017586,11017586,1000,1|0,4,136,33,180,1103
1017587,11017587,1000,1|0,4,141,48,270,1204
1017588,11017588,1000,1|0,4,139,93,180,1205
1017589,11017589,1000,1|0,4,122,7,0,1004
1017590,11017590,1000,1|0,4,121,57,90,1002
1017591,11017591,1000,1|0,4,121,74,0,1204
1017592,11017592,1000,1|0,4,115,7,270,1204
1017593,11017593,1000,1|0,4,108,19,270,1006
1017594,11017594,1000,1|0,4,114,59,90,1004
1017595,11017595,1000,1|0,4,113,71,0,1004
1017596,11017596,1000,1|0,4,102,5,90,1104
1017597,11017597,1000,1|0,4,103,26,180,1103
1018011,11018011,1000,1|0,4,173,84,90,1004
1018379,11018379,1000,1|0,4,145,46,270,1103
1018380,11018380,1000,1|0,4,146,55,180,1307
1022286,11022286,1000,1|0,4,191,14,90,1005
1022287,11022287,1000,1|0,4,188,37,90,1103
1022288,11022288,1000,1|0,4,172,15,90,1006
1022289,11022289,1000,1|0,4,174,54,90,1105
1022290,11022290,1000,1|0,4,160,15,0,1204
1022291,11022291,1000,1|0,4,165,24,270,1204
1022292,11022292,1000,1|0,4,167,46,0,1206
1022293,11022293,1000,1|0,4,160,71,90,1003
1022294,11022294,1000,1|0,4,159,88,270,1004
1022295,11022295,1000,1|0,4,149,12,270,1005
1022296,11022296,1000,1|0,4,147,40,0,1204
1022297,11022297,1000,1|0,4,153,90,0,1104
1022298,11022298,1000,1|0,4,154,95,0,1205
1022299,11022299,1000,1|0,4,141,7,90,1305
1022300,11022300,1000,1|0,4,142,21,90,1005
1022301,11022301,1000,1|0,4,136,36,180,1104
1022302,11022302,1000,1|0,4,141,51,270,1306
1022303,11022303,1000,1|0,4,137,66,270,1204
1022304,11022304,1000,1|0,4,136,69,270,1305
1022305,11022305,1000,1|0,4,139,84,0,1004
1022306,11022306,1000,1|0,4,139,96,270,1205
1022307,11022307,1000,1|0,4,122,10,270,1203
1022308,11022308,1000,1|0,4,123,22,270,1106
1022309,11022309,1000,1|0,4,124,36,90,1104
1022310,11022310,1000,1|0,4,121,45,0,1006
1022311,11022311,1000,1|0,4,121,77,180,1102
1022312,11022312,1000,1|0,4,123,82,270,1104
1022313,11022313,1000,1|0,4,115,10,270,1205
1022314,11022314,1000,1|0,4,108,22,90,1306
1022315,11022315,1000,1|0,4,114,62,180,1106
1022316,11022316,1000,1|0,4,113,74,0,1305
1022317,11022317,1000,1|0,4,116,83,0,1104
1022318,11022318,1000,1|0,4,103,29,90,1204
1022319,11022319,1000,1|0,4,102,48,90,1002
1022782,11022782,1000,1|0,4,173,87,180,1006
1022783,11022783,1000,1|0,4,109,33,90,1004
1023215,11023215,1000,1|0,4,145,49,180,1207
1023216,11023216,1000,1|0,4,146,58,0,1105
1023217,11023217,1000,1|0,4,154,73,0,1104
1027068,11027068,1000,1|0,4,197,27,90,1306
1027070,11027070,1000,1|0,4,192,16,270,1204
1027071,11027071,1000,1|0,4,187,25,270,1004
1027072,11027072,1000,1|0,4,189,39,270,1005
1027073,11027073,1000,1|0,4,189,48,270,1002
1027074,11027074,1000,1|0,4,173,17,270,1203
1027075,11027075,1000,1|0,4,175,21,0,1206
1027076,11027076,1000,1|0,4,161,17,270,1207
1027077,11027077,1000,1|0,4,168,48,270,1104
1027078,11027078,1000,1|0,4,150,14,270,1203
1027079,11027079,1000,1|0,4,154,92,90,1204
1027080,11027080,1000,1|0,4,142,9,0,1206
1027081,11027081,1000,1|0,4,143,23,270,1307
1027082,11027082,1000,1|0,4,137,38,90,1107
1027083,11027083,1000,1|0,4,137,71,0,1204
1027084,11027084,1000,1|0,4,140,98,180,1203
1027085,11027085,1000,1|0,4,124,24,0,1104
1027086,11027086,1000,1|0,4,125,38,180,1105
1027087,11027087,1000,1|0,4,122,47,90,1204
1027088,11027088,1000,1|0,4,122,62,180,1305
1027089,11027089,1000,1|0,4,122,79,180,1306
1027090,11027090,1000,1|0,4,109,24,0,1003
1027091,11027091,1000,1|0,4,115,64,90,1105
1027092,11027092,1000,1|0,4,114,76,270,1305
1027093,11027093,1000,1|0,4,117,85,270,1104
1027094,11027094,1000,1|0,4,103,10,270,1102
1027095,11027095,1000,1|0,4,104,31,180,1204
1027096,11027096,1000,1|0,4,100,37,270,1005
1027097,11027097,1000,1|0,4,103,50,90,1203
1027098,11027098,1000,1|0,4,100,66,90,1203
1027599,11027599,1000,1|0,4,176,44,90,1005
1027600,11027600,1000,1|0,4,152,23,270,1206
1027601,11027601,1000,1|0,4,110,35,90,1102
1028029,11028029,1000,1|0,4,146,51,90,1104
1028030,11028030,1000,1|0,4,147,60,0,1005
1028133,11028133,1000,1|0,4,110,49,90,1103
1031388,11031388,1000,1|0,4,195,22,90,1206
1031389,11031389,1000,1|0,4,185,20,270,1204
1031390,11031390,1000,1|0,4,187,34,180,1103
1031391,11031391,1000,1|0,4,171,12,180,1105
1031392,11031392,1000,1|0,4,173,16,0,1204
1031393,11031393,1000,1|0,4,173,51,270,1104
1031394,11031394,1000,1|0,4,175,54,0,1205
1031395,11031395,1000,1|0,4,159,12,270,1104
1031396,11031396,1000,1|0,4,164,21,270,1307
1031397,11031397,1000,1|0,4,166,43,90,1204
1031398,11031398,1000,1|0,4,158,85,90,1206
1031399,11031399,1000,1|0,4,146,37,180,1307
1031400,11031400,1000,1|0,4,153,92,90,1203
1031401,11031401,1000,1|0,4,140,4,270,1005
1031402,11031402,1000,1|0,4,141,18,90,1204
1031403,11031403,1000,1|0,4,135,33,0,1104
1031404,11031404,1000,1|0,4,140,48,90,1104
1031405,11031405,1000,1|0,4,136,63,270,1104
1031406,11031406,1000,1|0,4,138,81,90,1006
1031407,11031407,1000,1|0,4,123,33,90,1005
1031408,11031408,1000,1|0,4,120,42,0,1104
1031409,11031409,1000,1|0,4,120,74,270,1104
1031411,11031411,1000,1|0,4,114,7,0,1104
1031412,11031412,1000,1|0,4,107,19,90,1104
1031413,11031413,1000,1|0,4,113,59,0,1105
1031414,11031414,1000,1|0,4,112,71,270,1102
1031415,11031415,1000,1|0,4,115,80,180,1105
1031416,11031416,1000,1|0,4,101,5,0,1003
1031417,11031417,1000,1|0,4,102,26,0,1004
1031419,11031419,1000,1|0,4,101,45,180,1106
1031842,11031842,1000,1|0,4,174,39,270,1007
1031843,11031843,1000,1|0,4,150,18,180,1107
1031844,11031844,1000,1|0,4,108,30,90,1205
1032014,11032014,1000,1|0,4,170,91,180,1204
1032203,11032203,1000,1|0,4,144,46,90,1106
1032204,11032204,1000,1|0,4,153,70,180,1104
1036016,11036016,1000,1|0,4,194,25,90,1107
1036018,11036018,1000,1|0,4,184,23,90,1104
1036019,11036019,1000,1|0,4,186,37,90,1106
1036020,11036020,1000,1|0,4,186,46,270,1006
1036021,11036021,1000,1|0,4,172,19,180,1005
1036022,11036022,1000,1|0,4,163,24,0,1305
1036023,11036023,1000,1|0,4,165,46,0,1104
1036024,11036024,1000,1|0,4,158,71,180,1103
1036025,11036025,1000,1|0,4,157,88,180,1206
1036026,11036026,1000,1|0,4,147,12,180,1104
1036027,11036027,1000,1|0,4,151,90,270,1204
1036028,11036028,1000,1|0,4,152,95,90,1005
1036029,11036029,1000,1|0,4,139,7,270,1005
1036030,11036030,1000,1|0,4,140,21,0,1004
1036031,11036031,1000,1|0,4,135,66,270,1106
1036032,11036032,1000,1|0,4,134,69,90,1305
1036033,11036033,1000,1|0,4,137,84,90,1306
1036034,11036034,1000,1|0,4,137,96,270,1004
1036035,11036035,1000,1|0,4,122,36,270,1203
1036036,11036036,1000,1|0,4,119,60,180,1204
1036037,11036037,1000,1|0,4,113,10,0,1203
1036038,11036038,1000,1|0,4,112,62,270,1305
1036039,11036039,1000,1|0,4,100,8,270,1104
1036040,11036040,1000,1|0,4,101,29,180,1204
1036041,11036041,1000,1|0,4,100,48,180,1104
1036511,11036511,1000,1|0,4,173,42,0,1006
1036512,11036512,1000,1|0,4,171,87,90,1203
1036513,11036513,1000,1|0,4,149,21,270,1204
1036514,11036514,1000,1|0,4,107,33,180,1104
1036731,11036731,1000,1|0,4,169,94,270,1203
1036943,11036943,1000,1|0,4,144,58,0,1204
1036944,11036944,1000,1|0,4,152,73,0,1106
1037040,11037040,1000,1|0,4,107,47,270,1204
1040764,11040764,1000,1|0,4,190,15,0,1204
1040765,11040765,1000,1|0,4,185,24,90,1204
1040766,11040766,1000,1|0,4,187,38,180,1104
1040767,11040767,1000,1|0,4,171,16,90,1004
1040768,11040768,1000,1|0,4,173,20,90,1004
1040769,11040769,1000,1|0,4,173,55,270,1207
1040770,11040770,1000,1|0,4,166,47,0,1104
1040771,11040771,1000,1|0,4,148,13,180,1204
1040772,11040772,1000,1|0,4,135,37,0,1305
1040773,11040773,1000,1|0,4,136,67,90,1205
1040774,11040774,1000,1|0,4,135,70,270,1005
1040775,11040775,1000,1|0,4,138,85,270,1004
1040776,11040776,1000,1|0,4,138,97,0,1305
1040777,11040777,1000,1|0,4,121,11,0,1105
1040778,11040778,1000,1|0,4,122,23,90,1005
1040779,11040779,1000,1|0,4,123,37,180,1205
1040780,11040780,1000,1|0,4,120,46,270,1205
1040781,11040781,1000,1|0,4,120,61,180,1105
1040782,11040782,1000,1|0,4,120,78,270,1004
1040783,11040783,1000,1|0,4,114,11,90,1004
1040784,11040784,1000,1|0,4,107,23,180,1203
1040785,11040785,1000,1|0,4,113,63,0,1106
1040786,11040786,1000,1|0,4,112,75,0,1103
1040787,11040787,1000,1|0,4,115,84,180,1206
1040788,11040788,1000,1|0,4,101,9,90,1204
1040789,11040789,1000,1|0,4,102,30,0,1207
1040791,11040791,1000,1|0,4,101,49,90,1204
1041262,11041262,1000,1|0,4,174,43,90,1004
1041263,11041263,1000,1|0,4,172,88,270,1104
1041264,11041264,1000,1|0,4,150,22,0,1002
1041265,11041265,1000,1|0,4,108,34,180,1305
1041485,11041485,1000,1|0,4,170,95,180,1004
1041699,11041699,1000,1|0,4,144,50,180,1204
1041700,11041700,1000,1|0,4,145,59,0,1005
1041701,11041701,1000,1|0,4,153,74,270,1004
421,11042009,1000,1|0,18,174,69,0,301002
422,11042020,1000,1|0,23,180,30,0,1400001
1003608,11003608,2000,2|0,4,291,4,270,1105
1003609,11003609,2000,2|0,4,287,25,0,1206
1003610,11003610,2000,2|0,4,290,74,180,1102
1003611,11003611,2000,2|0,4,289,94,0,1104
1003618,11003618,2000,2|0,4,276,42,270,1004
1003619,11003619,2000,2|0,4,272,69,90,1207
1003627,11003627,2000,2|0,4,263,6,270,1004
1003628,11003628,2000,2|0,4,268,21,270,1202
1003629,11003629,2000,2|0,4,267,34,0,1204
1003630,11003630,2000,2|0,4,261,97,0,1004
1003636,11003636,2000,2|0,4,252,20,0,1104
1003637,11003637,2000,2|0,4,248,76,90,1105
1003638,11003638,2000,2|0,4,246,85,0,1104
1003644,11003644,2000,2|0,4,241,57,0,1205
1003645,11003645,2000,2|0,4,236,66,90,1105
1003646,11003646,2000,2|0,4,238,80,0,1305
1003652,11003652,2000,2|0,4,225,10,0,1104
1003657,11003657,2000,2|0,4,219,11,90,1205
1003658,11003658,2000,2|0,4,217,22,0,1003
1003659,11003659,2000,2|0,4,217,44,270,1104
1003660,11003660,2000,2|0,4,214,95,0,1105
1003666,11003666,2000,2|0,4,205,5,180,1003
1003667,11003667,2000,2|0,4,205,70,180,1203
1004174,11004174,2000,2|0,4,284,34,90,1105
1004175,11004175,2000,2|0,4,276,87,270,1205
1004176,11004176,2000,2|0,4,268,75,0,1102
1004177,11004177,2000,2|0,4,261,80,270,1204
1004178,11004178,2000,2|0,4,248,95,0,1004
1004180,11004180,2000,2|0,4,216,72,180,1204
